,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,filtered_genre
3053,Bomb the Music Industry!,0.391,0.534,288080.0,0.64,0.004075,0.7055,-5.975,0.07525,128.3715,0.4455,44.0,2,1,4,"['anti-folk', 'folk punk', 'indie punk', 'modern ska punk', 'ska', 'ska punk']",Indie
3054,Bomba Estéreo,0.06344,0.8164,225831.8,0.6767999999999998,0.0017824,0.0751,-6.277600000000001,0.0991,106.8184,0.4393999999999999,56.8,4,0,5,"['cumbia', 'latin alternative', 'latin rock']",Rock
3055,Bombay Bicycle Club,0.482,0.6184444444444444,249724.33333333328,0.7205555555555555,0.0944491111111111,0.1009333333333333,-7.434666666666666,0.0347888888888888,112.19688888888888,0.4893333333333333,57.77777777777778,7,1,9,"['alternative dance', 'british indie rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'rock']",EDM
3056,Bombay Jayashri,0.5945,0.6645,298706.5,0.2805,0.00770102,0.2239999999999999,-15.6755,0.0663,143.78750000000005,0.6285000000000001,45.0,11,0,4,"['carnatic', 'carnatic vocal', 'deep indian pop', 'filmi', 'indian classical', 'tamil pop']",Pop
3057,Bon Iver,0.8031286956521739,0.4613188405797102,240444.28985507245,0.3121333333333333,0.251052743768116,0.1659608695652174,-14.022913043478262,0.0652405797101449,115.5365942028985,0.2302260869565217,57.08695652173913,9,1,69,"['eau claire indie', 'indie folk', 'melancholia', 'slow core']",Indie
3058,Bon Jovi,0.0556190087591241,0.4486496350364961,291683.5620437956,0.8472773722627741,0.0068479068613138,0.2005109489051096,-4.643291970802919,0.0469408759124087,127.09068613138678,0.4662481751824816,48.51824817518249,2,1,137,"['glam metal', 'rock']",Metal
3060,Bondo,0.564,0.353,119093.0,0.7240000000000001,0.0,0.613,-6.6320000000000014,0.0967,52.81,0.643,38.0,6,1,2,"['indie r&b', 'lo-fi chill']",Indie
3061,Bone Crusher,0.0050163333333333,0.6523333333333333,311373.33333333326,0.8703333333333333,0.00033504,0.2866666666666667,-4.097,0.1114333333333333,98.67733333333337,0.5116666666666667,46.33333333333334,11,0,3,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'southern hip hop', 'trap']",Hip-hop
3062,Bone Symphony,0.0033,0.705,190027.0,0.489,0.347,0.0716,-16.637999999999998,0.0367,124.242,0.653,25.0,2,1,2,"['deep new wave', 'early synthpop']",Pop
3063,Bone Thugs-N-Harmony,0.1689917268817204,0.7241612903225805,258670.8279569893,0.6041827956989249,0.0069084505376344,0.3229967741935483,-8.432387096774196,0.1456655913978494,120.99851612903235,0.5641075268817201,45.31182795698925,11,1,93,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",Hip-hop
3064,Bonet De San Pedro Y Los 7 De Palma,0.7089999999999999,0.4985000000000001,167866.0,0.6545000000000001,8.555000000000002e-05,0.385,-9.056500000000002,0.0564499999999999,112.5055,0.6020000000000001,0.0,7,1,4,['vintage spanish pop'],Pop
3065,Boney James,0.2674545454545454,0.6193939393939393,288388.2727272727,0.5529999999999998,0.5151087121212119,0.130130303030303,-9.377666666666666,0.0372696969696969,105.78596969696972,0.5616969696969696,38.48484848484848,5,0,33,"['smooth jazz', 'smooth saxophone']",Jazz
3066,Boney M.,0.1894757894736841,0.7087894736842103,262760.0,0.7805263157894737,0.1263667647368421,0.2178052631578948,-7.726157894736838,0.0598947368421052,124.08110526315788,0.8836842105263158,46.94736842105264,9,1,38,"['disco', 'europop']",Pop
3067,Bongzilla,0.000173,0.23,247013.0,0.95,0.8109999999999999,0.108,-6.287999999999999,0.0657,132.238,0.302,40.0,8,1,2,"['doom metal', 'drone metal', 'psychedelic doom', 'sludge metal', 'stoner metal', 'stoner rock']",Metal
3070,Bonn,0.07095,0.4270000000000001,218928.5,0.5605,0.0,0.116,-6.408,0.03185,128.0855,0.3475,74.5,11,1,4,"['classic rock', 'country rock', 'electric blues', 'folk', 'folk rock', 'lilith', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",Country
3071,"Bonnie ""Prince"" Billy",0.855,0.4429999999999999,289800.0,0.0305,0.00976,0.1009999999999999,-24.108,0.0413,109.484,0.0352,36.0,8,1,2,"['alternative country', 'alternative rock', 'anti-folk', 'art pop', 'chamber pop', 'folk', 'freak folk', 'indie folk', 'indie rock', 'lo-fi', 'melancholia', 'new weird america', 'roots rock', 'singer-songwriter', 'slow core', 'stomp and holler', 'traditional folk']",Country
3075,Bonnie McKee,0.00976,0.66,224107.0,0.816,1.87e-05,0.59,-4.332,0.0344,127.97,0.66,49.0,0,0,2,"['candy pop', 'electropop', 'post-teen pop']",Pop
3079,Bonnie Raitt,0.5063629032258061,0.5926532258064514,233322.8548387097,0.4468725806451614,0.0142811848387096,0.1630338709677418,-11.769088709677415,0.0408161290322581,115.99696774193544,0.5606774193548387,33.483870967741936,5,1,124,"['classic rock', 'country rock', 'electric blues', 'folk', 'folk rock', 'lilith', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",Country
3082,Bonnie Tyler,0.211445,0.4992857142857142,299393.2857142857,0.6097142857142858,0.0001542557142857,0.1467357142857143,-11.743642857142856,0.0426714285714285,125.93157142857147,0.5400714285714286,47.07142857142857,9,1,28,"['europop', 'mellow gold', 'new wave pop', 'soft rock']",Pop
3083,Bonny Cepeda,0.5393076923076923,0.6469230769230769,275106.53846153844,0.6677692307692309,0.0044987353846153,0.1431076923076923,-7.900230769230768,0.074476923076923,142.874,0.9264615384615388,37.0,9,0,13,"['dominican pop', 'latin', 'merengue', 'merengue tipico', 'tropical']",Pop
3084,Bono,0.429,0.462,187987.0,0.519,3.47e-05,0.0865,-9.957,0.0302,133.54,0.304,49.0,2,0,2,"['downtempo', 'electronica', 'jazztronica', 'ninja', 'nu jazz', 'trip hop']",EDM
3085,Bonobo,0.4222739999999999,0.5871500000000001,310663.5,0.5711499999999999,0.7253000000000001,0.15217,-10.031,0.071785,105.2628,0.3608899999999999,47.8,10,0,20,"['downtempo', 'electronica', 'jazztronica', 'ninja', 'nu jazz', 'trip hop']",EDM
3086,Boo,0.0381,0.816,269648.66666666674,0.6409999999999999,0.0,0.1130333333333333,-4.938,0.1237333333333333,92.344,0.7213333333333334,45.66666666666666,10,0,3,"['melodic rap', 'pop rap', 'rap', 'trap']",Pop
3087,Boo And Gotti,0.091,0.882,279680.0,0.769,3.5000000000000016e-06,0.0809,-3.448,0.147,98.003,0.529,46.0,11,1,2,['chicago rap'],Rap
3088,Boo-Yaa T.R.I.B.E.,0.0816,0.633,261840.0,0.924,0.0,0.1369999999999999,-7.67,0.185,97.094,0.409,40.0,6,0,2,"['gangster rap', 'polynesian hip hop', 'polynesian pop']",Hip-hop
3089,Booba,0.585,0.774,195040.0,0.75,0.0,0.159,-5.083,0.0891,127.96,0.634,5.0,4,0,4,"['french hip hop', 'pop urbaine', 'rap conscient']",Hip-hop
3092,Boogie,0.0446,0.551,160000.0,0.674,0.0,0.0922,-5.15,0.425,147.368,0.55,65.0,7,1,2,"['melodic rap', 'pop rap', 'rap', 'trap']",Pop
